pdb_code,binding_affinity,binding_free_energy,proaffinity_label
1a22,Kd=0.34nM,-12.908,9.46852108296
1acb,Kd=0.2nM,-13.223,9.69897000434
1ak4,Kd=17uM,-6.502,4.76955107862
1an1,Ki=0.9nM,-12.332,9.04575749056
1atn,Kd=0.45nM,-12.742,9.34678748622
1ava,Ki=0.22nM,-13.166,9.65757731918
1avx,Kd=60fM,-18.025,13.2218487496
1avz,Kd=15.8uM,-6.546,4.80134291305
1axi,Kd=14nM,-10.707,7.85387196432
1ay7,Kd=1uM,-8.18,6
1b27,Kd=0.01pM,-19.086,14
1b2s,Kd=157pM,-13.366,9.80410034759
1b2u,Kd=100nM,-9.543,7
1b3s,Kd=117pM,-13.54,9.93181413825
1brs,Kd=13fM,-18.931,13.8860566477
1buh,Kd=77nM,-9.698,7.11350927483
1bvn,Ki=9pM,-15.059,11.0457574906
1c9p,Ki=1.0nM,-12.27,9
1c9t,Ki=1.0nM,-12.27,9
1d6r,Kd=0.13nM,-13.478,9.88605664769
1dfj,Ki=59fM,-18.035,13.2291479884
1dhk,Ki=35pM,-14.255,10.4559319556
1djs,Kd=41nM,-10.071,7.38721614328
1dp5,Ki=0.9nM,-12.332,9.04575749056
1dpj,Ki=3nM,-11.619,8.52287874528
1dzb,Kd=520nM,-8.567,6.28399665637
1e6e,Kd=0.86uM,-8.269,6.06550154876
1e96,Kd=2.7uM,-7.592,5.56863623584
1eaw,Kd=49.7pM,-14.047,10.3036436113
1ees,Kd=20nM,-10.496,7.69897000434
1efn,Kd=0.38uM,-8.753,6.42021640338
1eja,Ki=1.0nM,-12.27,9
1emv,Kd=24fM,-18.568,13.6197887583
1es0,IC50=0.08uM,-9.675,7.09691001301
1f34,Kd=0.1nM,-13.633,10
1f3v,Kd=7.8uM,-6.964,5.10790539731
1f5r,Ki=65uM,-5.708,4.18708664336
1f7z,Ki=12.4uM,-6.689,4.90657831484
1fc2,Kd=22.5nM,-10.426,7.64781748189
1ffw,Kd=1.2uM,-8.072,5.92081875395
1fle,Ki=6nM,-11.209,8.22184874962
1fmo,Ki=2.3nM,-11.777,8.63827216398
1fy8,Ki=9uM,-6.879,5.04575749056
1g5j,Kd=0.6nM,-12.572,9.22184874962
1g6v,Kd=72nM,-9.738,7.14266750357
1g9i,Kd=0.12uM,-9.435,6.92081875395
1gl0,Ki=0.8nM,-12.402,9.09691001301
1gl1,Ki=0.13nM,-13.478,9.88605664769
1gla,Kd=0.18uM,-9.195,6.7447274949
1gng,Kd=39nM,-10.101,7.40893539297
1grn,Kd=388nM,-8.74,6.41116827441
1gua,Kd=40nM,-10.086,7.39794000867
1gxd,Kd=5.2nM,-11.294,8.28399665637
1h0t,Kd=6uM,-7.119,5.22184874962
1h1v,Kd=23nM,-10.413,7.63827216398
1h59,Kd=37nM,-10.132,7.43179827593
1he8,Kd=2.5uM,-7.637,5.60205999133
1i4e,Kd=0.12uM,-9.435,6.92081875395
1i8l,Kd=0.2uM,-9.133,6.69897000434
1ibr,Kd=0.3nM,-12.983,9.52287874528
1j2j,Kd=1.4uM,-7.981,5.85387196432
1j7v,Kd=35pM,-14.255,10.4559319556
1jgn,Kd=0.35uM,-8.801,6.45593195565
1jh4,Kd=1.5uM,-7.94,5.82390874094
1jiw,Kd=4pM,-15.539,11.3979400087
1jsp,Kd=50uM,-5.864,4.30102999566
1jtd,Ki=27.2pM,-14.404,10.565431096
1k93,Kd=20nM,-10.496,7.69897000434
1kac,Kd=14.8nM,-10.674,7.82973828461
1kbh,Kd=34nM,-10.182,7.46852108296
1ktk,Kd=20uM,-6.406,4.69897000434
1ktz,Kd=290nM,-8.913,6.5376020021
1kxp,Kd=1nM,-12.27,9
1kxt,Kd=235nM,-9.037,6.62893213773
1l4d,Kd=196.6nM,-9.143,6.7064164865
1l4z,Kd=196.6nM,-9.143,6.7064164865
1l8c,Kd=7nM,-11.118,8.15490195999
1ldt,Ki=1.8nM,-11.922,8.7447274949
1lp1,Kd=2uM,-7.769,5.69897000434
1lw6,Kd=2pM,-15.949,11.6989700043
1lx5,Kd=1.2nM,-12.162,8.92081875395
1lzw,Kd=0.33uM,-8.836,6.48148606012
1m10,Kd=5.8nM,-11.229,8.23657200644
1m5n,Kd=2.1nM,-11.83,8.67778070527
1mah,Kd=25pM,-14.454,10.6020599913
1mcv,Ki=98nM,-9.555,7.00877392431
1mq8,Kd=3uM,-7.529,5.52287874528
1mxe,Kd=1pM,-16.36,12
1mzw,Kd=1.97uM,-7.778,5.70553377384
1nw9,Ki=0.013uM,-10.751,7.88605664769
1nys,Kd=10nM,-10.906,8
1nyu,Kd=10nM,-10.906,8
1o9a,Kd=1uM,-8.18,6
1oey,Kd=4nM,-11.449,8.39794000867
1op9,Kd=0.7nM,-12.481,9.15490195999
1otr,Kd=155uM,-5.194,3.80966830183
1oyh,Kd=42nM,-10.057,7.3767507096
1ozs,Kd=31uM,-6.147,4.50863830617
1p27,Kd=0.7nM,-12.481,9.15490195999
1p69,Kd=76nM,-9.706,7.11918640772
1p6a,Kd=35nM,-10.165,7.45593195565
1p9d,Kd=12.9uM,-6.666,4.8894102897
1pd7,Kd=0.3uM,-8.893,6.52287874528
1pjm,Kd=180nM,-9.195,6.7447274949
1pjn,Kd=22nM,-10.44,7.65757731918
1pk1,Kd=54nM,-9.908,7.26760624018
1ppe,Kd=3pM,-15.709,11.5228787453
1psb,Kd=20uM,-6.406,4.69897000434
1pvh,Kd=80nM,-9.675,7.09691001301
1pxv,Ki=0.31nM,-12.963,9.50863830617
1q0w,Kd=277uM,-4.85,3.55752023094
1q5w,Kd=126uM,-5.316,3.89962945488
1q68,Kd=400nM,-8.722,6.39794000867
1q69,Kd=900nM,-8.242,6.04575749056
1qa9,Kd=1uM,-8.18,6
1r0r,Kd=29.4pM,-14.358,10.5316526696
1r8u,Kd=13nM,-10.751,7.88605664769
1ri8,Kd=2.9nM,-11.639,8.5376020021
1rjc,Kd=77pM,-13.788,10.1135092748
1rkc,Kd=39nM,-10.101,7.40893539297
1rke,Kd=50nM,-9.953,7.30102999566
1rpq,IC50=0.032uM,-10.218,7.49485002168
1ry7,Kd=0.23uM,-9.05,6.63827216398
1s4y,Kd=6.87nM,-11.129,8.16304326294
1sb0,Kd=15uM,-6.576,4.82390874094
1shy,Kd=90nM,-9.605,7.04575749056
1smf,Ki=0.12uM,-9.435,6.92081875395
1sq0,Kd=30nM,-10.256,7.52287874528
1sv0,Kd=11.1nM,-10.845,7.95467702121
1syq,Kd=14.7nM,-10.678,7.83268266525
1t01,Kd=39nM,-10.101,7.40893539297
1t0p,Kd=25uM,-6.274,4.60205999133
1t44,Kd=1uM,-8.18,6
1t5z,Kd=33uM,-6.11,4.48148606012
1t63,Kd=15uM,-6.576,4.82390874094
1t6b,Kd=0.4nM,-12.812,9.39794000867
1ta3,Ki=9nM,-10.969,8.04575749056
1tba,Kd=1nM,-12.27,9
1tdq,Kd=12nM,-10.798,7.92081875395
1te1,Ki=3.4nM,-11.545,8.46852108296
1th1,Kd=2.1nM,-11.83,8.67778070527
1tlh,Kd=300uM,-4.803,3.52287874528
1tm1,Ki=0.003nM,-15.709,11.5228787453
1tm3,Ki=0.019nM,-14.616,10.721246399
1tm4,Ki=0.13nM,-13.478,9.88605664769
1tm5,Ki=0.017nM,-14.682,10.7695510786
1tm7,Ki=0.0033nM,-15.653,11.4814860601
1to1,Ki=0.46nM,-12.729,9.33724216832
1tzn,Kd=170pM,-13.319,9.76955107862
1u0i,Kd=70nM,-9.754,7.15490195999
1u0s,Kd=0.23uM,-9.05,6.63827216398
1u5s,Kd=3mM,-3.439,2.52287874528
1uel,Kd=3.4uM,-7.455,5.46852108296
1ugh,IC50=12pM,-14.888,10.920818754
1ul1,Kd=60nM,-9.846,7.22184874962
1us7,Kd=1.8uM,-7.832,5.7447274949
1usu,Kd=3.3uM,-7.473,5.48148606012
1usv,Kd=3.3uM,-7.473,5.48148606012
1uug,Kd=1.3uM,-8.024,5.88605664769
1v18,Kd=10nM,-10.906,8
1vet,Kd=12.8nM,-10.76,7.89279003035
1veu,Kd=12.8nM,-10.76,7.89279003035
1vg0,Kd=5nM,-11.317,8.30102999566
1vrk,Kd=6.8nM,-11.135,8.16749108729
1vyt,Kd=20nM,-10.496,7.69897000434
1wa7,Kd=9.58uM,-6.842,5.01863449092
1wa8,Kd=11nM,-10.85,7.95860731484
1wlp,Kd=0.64uM,-8.444,6.19382002602
1wpx,Ki=1.80nM,-11.922,8.7447274949
1wq1,Kd=17uM,-6.502,4.76955107862
1wqj,Kd=865nM,-8.266,6.06298389254
1wr1,Kd=14.8uM,-6.584,4.82973828461
1wrd,Kd=409uM,-4.619,3.38827669199
1wve,Kd=7nM,-11.118,8.15490195999
1x1u,Kd=13.2nM,-10.742,7.87942606879
1x1w,Kd=26.4nM,-10.332,7.57839607313
1x1x,Kd=53nM,-9.919,7.2757241304
1x1y,Kd=12.7uM,-6.675,4.89619627904
1xdt,Kd=10nM,-10.906,8
1xg2,Kd=5nM,-11.317,8.30102999566
1xj7,Kd=39uM,-6.011,4.40893539297
1xqh,Kd=0.2uM,-9.133,6.69897000434
1xqs,Kd=6.5uM,-7.072,5.18708664336
1xr0,Kd=10uM,-6.816,5
1xt9,Kd=200nM,-9.133,6.69897000434
1y1k,Ki=0.3nM,-12.983,9.52287874528
1y33,Ki=1.7nM,-11.956,8.76955107862
