pdb_code	ppi_group	group_size
1acb	PG0001	284
1an1	PG0001	284
1avx	PG0001	284
1avz	PG0001	284
1c9p	PG0001	284
1c9t	PG0001	284
1d6r	PG0001	284
1dfj	PG0001	284
1dzb	PG0001	284
1eaw	PG0001	284
1efn	PG0001	284
1eja	PG0001	284
1f5r	PG0001	284
1f7z	PG0001	284
1fle	PG0001	284
1fy8	PG0001	284
1g6v	PG0001	284
1g9i	PG0001	284
1gl0	PG0001	284
1gl1	PG0001	284
1h0t	PG0001	284
1k93	PG0001	284
1ldt	PG0001	284
1lp1	PG0001	284
1lw6	PG0001	284
1m10	PG0001	284
1mcv	PG0001	284
1mxe	PG0001	284
1op9	PG0001	284
1otr	PG0001	284
1p9d	PG0001	284
1ppe	PG0001	284
1q0w	PG0001	284
1q5w	PG0001	284
1r0r	PG0001	284
1ri8	PG0001	284
1rjc	PG0001	284
1shy	PG0001	284
1smf	PG0001	284
1sq0	PG0001	284
1tm1	PG0001	284
1tm3	PG0001	284
1tm4	PG0001	284
1tm5	PG0001	284
1tm7	PG0001	284
1to1	PG0001	284
1u5s	PG0001	284
1wa7	PG0001	284
1wr1	PG0001	284
1wrd	PG0001	284
1y1k	PG0001	284
1y33	PG0001	284
1y34	PG0001	284
1y3b	PG0001	284
1y3c	PG0001	284
1y3d	PG0001	284
1y48	PG0001	284
1y4a	PG0001	284
1y4d	PG0001	284
1yc0	PG0001	284
1yd8	PG0001	284
1yx5	PG0001	284
1yx6	PG0001	284
1zgu	PG0001	284
1zjd	PG0001	284
1zr0	PG0001	284
1zsg	PG0001	284
1zvh	PG0001	284
1zvy	PG0001	284
2aq2	PG0001	284
2b87	PG0001	284
2c7m	PG0001	284
2den	PG0001	284
2dx5	PG0001	284
2ftl	PG0001	284
2ftm	PG0001	284
2fuh	PG0001	284
2g45	PG0001	284
2g81	PG0001	284
2hth	PG0001	284
2ij0	PG0001	284
2iy1	PG0001	284
2jjs	PG0001	284
2jt4	PG0001	284
2jy6	PG0001	284
2k6d	PG0001	284
2k79	PG0001	284
2k7a	PG0001	284
2k8b	PG0001	284
2k8c	PG0001	284
2knb	PG0001	284
2ktf	PG0001	284
2kwu	PG0001	284
2kwv	PG0001	284
2l0f	PG0001	284
2l0t	PG0001	284
2lvo	PG0001	284
2lz6	PG0001	284
2m5a	PG0001	284
2mbb	PG0001	284
2mcn	PG0001	284
2mj5	PG0001	284
2mre	PG0001	284
2mro	PG0001	284
2mur	PG0001	284
2oob	PG0001	284
2p42	PG0001	284
2p43	PG0001	284
2p44	PG0001	284
2p45	PG0001	284
2p46	PG0001	284
2p47	PG0001	284
2p48	PG0001	284
2p49	PG0001	284
2p4a	PG0001	284
2ptc	PG0001	284
2r9p	PG0001	284
2ra3	PG0001	284
2sic	PG0001	284
2sni	PG0001	284
2tgp	PG0001	284
2uuy	PG0001	284
2uyz	PG0001	284
2wel	PG0001	284
2xa0	PG0001	284
2xtt	PG0001	284
2z58	PG0001	284
2z7f	PG0001	284
3a4s	PG0001	284
3bzd	PG0001	284
3c59	PG0001	284
3c5t	PG0001	284
3dvm	PG0001	284
3eba	PG0001	284
3fp6	PG0001	284
3h8k	PG0001	284
3iol	PG0001	284
3kw5	PG0001	284
3l33	PG0001	284
3m18	PG0001	284
3mzw	PG0001	284
3p92	PG0001	284
3p95	PG0001	284
3qsk	PG0001	284
3rdz	PG0001	284
3reb	PG0001	284
3sgb	PG0001	284
3tgk	PG0001	284
3uyp	PG0001	284
3uze	PG0001	284
3uzq	PG0001	284
3uzv	PG0001	284
3vv2	PG0001	284
3zkq	PG0001	284
3zo0	PG0001	284
4a1u	PG0001	284
4a49	PG0001	284
4afq	PG0001	284
4afz	PG0001	284
4ag2	PG0001	284
4an7	PG0001	284
4aoq	PG0001	284
4c2a	PG0001	284
4cj2	PG0001	284
4cmm	PG0001	284
4doq	PG0001	284
4eig	PG0001	284
4f9l	PG0001	284
4f9p	PG0001	284
4gi3	PG0001	284
4gla	PG0001	284
4gn4	PG0001	284
4hcn	PG0001	284
4hcp	PG0001	284
4hep	PG0001	284
4hgk	PG0001	284
4hgm	PG0001	284
4i0c	PG0001	284
4i6l	PG0001	284
4j2y	PG0001	284
4jeg	PG0001	284
4jra	PG0001	284
4k1r	PG0001	284
4kbb	PG0001	284
4krl	PG0001	284
4ksd	PG0001	284
4lgr	PG0001	284
4m0w	PG0001	284
4msm	PG0001	284
4nzl	PG0001	284
4per	PG0001	284
4pgj	PG0001	284
4pou	PG0001	284
4pqt	PG0001	284
4u30	PG0001	284
4u32	PG0001	284
4w6w	PG0001	284
4w6x	PG0001	284
4w6y	PG0001	284
4wem	PG0001	284
4wen	PG0001	284
4x7e	PG0001	284
4x7f	PG0001	284
4x7s	PG0001	284
4z9k	PG0001	284
4zgm	PG0001	284
5aam	PG0001	284
5aaw	PG0001	284
5agw	PG0001	284
5boz	PG0001	284
5c67	PG0001	284
5d1k	PG0001	284
5d1l	PG0001	284
5d1m	PG0001	284
5dc4	PG0001	284
5dfw	PG0001	284
5djt	PG0001	284
5dju	PG0001	284
5elu	PG0001	284
5eql	PG0001	284
5g15	PG0001	284
5g1x	PG0001	284
5hpk	PG0001	284
5hps	PG0001	284
5hvf	PG0001	284
5imk	PG0001	284
5imm	PG0001	284
5ip4	PG0001	284
5j56	PG0001	284
5j57	PG0001	284
5jds	PG0001	284
5jsn	PG0001	284
5kve	PG0001	284
5l21	PG0001	284
5l8j	PG0001	284
5lhn	PG0001	284
5lxm	PG0001	284
5m2j	PG0001	284
5m2m	PG0001	284
5ml9	PG0001	284
5mtm	PG0001	284
5mtn	PG0001	284
5my6	PG0001	284
5o05	PG0001	284
5o0w	PG0001	284
5o2u	PG0001	284
5omn	PG0001	284
5otx	PG0001	284
5tl7	PG0001	284
5tvq	PG0001	284
5u4m	PG0001	284
5u4y	PG0001	284
5u52	PG0001	284
5v5h	PG0001	284
5v69	PG0001	284
5v6a	PG0001	284
5vzm	PG0001	284
5xiu	PG0001	284
5ywr	PG0001	284
5zau	PG0001	284
6bx8	PG0001	284
6cbp	PG0001	284
6cwg	PG0001	284
6d4p	PG0001	284
6dcn	PG0001	284
6dgf	PG0001	284
6dwf	PG0001	284
6dwh	PG0001	284
6ejm	PG0001	284
6f2g	PG0001	284
6fuz	PG0001	284
6fv0	PG0001	284
6gfi	PG0001	284
6gjq	PG0001	284
6h16	PG0001	284
6har	PG0001	284
6her	PG0001	284
6i07	PG0001	284
6j7w	PG0001	284
6jb2	PG0001	284
6jb8	PG0001	284
6kbr	PG0001	284
6oan	PG0001	284
6qb3	PG0001	284
1e96	PG0002	108
1ees	PG0002	108
1g5j	PG0002	108
1grn	PG0002	108
1gua	PG0002	108
1he8	PG0002	108
1ibr	PG0002	108
1wq1	PG0002	108
1xr0	PG0002	108
