protein_cluster	sequence_id	cluster_size
PC0001	1g6v_2	55
PC0001	1op9_2	55
PC0001	1ri8_2	55
PC0001	1zvh_2	55
PC0001	2aq2_1	55
PC0001	2ij0_2	55
PC0001	2p49_2	55
PC0001	2p4a_2	55
PC0001	3bzd_1	55
PC0001	3eba_1	55
PC0001	3qsk_2	55
PC0001	3zkq_2	55
PC0001	4eig_2	55
PC0001	4f9p_2	55
PC0001	4hep_2	55
PC0001	4hgk_2	55
PC0001	4i0c_2	55
PC0001	4krl_2	55
PC0001	4ksd_2	55
PC0001	4pgj_1	55
PC0001	4pou_2	55
PC0001	4w6w_2	55
PC0001	4w6x_2	55
PC0001	4w6y_2	55
PC0001	4wem_2	55
PC0001	4wen_2	55
PC0001	4x7e_2	55
PC0001	4x7f_2	55
PC0001	4z9k_2	55
PC0001	5hvf_2	55
PC0001	5imk_1	55
PC0001	5imm_1	55
PC0001	5ip4_1	55
PC0001	5j57_2	55
PC0001	5jds_1	55
PC0001	5l21_2	55
PC0001	5l8j_2	55
PC0001	5lhn_2	55
PC0001	5m2j_2	55
PC0001	5m2m_2	55
PC0001	5my6_2	55
PC0001	5o05_1	55
PC0001	5o0w_2	55
PC0001	5o2u_2	55
PC0001	5omn_2	55
PC0001	5u4m_2	55
PC0001	6cwg_2	55
PC0001	6f2g_2	55
PC0001	6fuz_2	55
PC0001	6fv0_2	55
PC0001	6gjq_2	55
PC0001	6h16_2	55
PC0001	6her_2	55
PC0001	6j7w_1	55
PC0001	6jb2_1	55
PC0002	1avz_2	51
PC0002	1efn_1	51
PC0002	1otr_2	51
PC0002	1p9d_1	51
PC0002	1q0w_2	51
PC0002	1q5w_2	51
PC0002	1wr1_1	51
PC0002	1wrd_2	51
PC0002	1yx5_2	51
PC0002	1yx6_2	51
PC0002	1zgu_2	51
PC0002	1zsg_1	51
PC0002	2c7m_2	51
PC0002	2den_2	51
PC0002	2fuh_2	51
PC0002	2g45_2	51
PC0002	2jt4_1	51
PC0002	2jt4_2	51
PC0002	2jy6_1	51
PC0002	2k6d_1	51
PC0002	2k79_1	51
PC0002	2k7a_1	51
PC0002	2k8b_1	51
PC0002	2k8c_1	51
PC0002	2ktf_1	51
PC0002	2kwu_2	51
PC0002	2kwv_2	51
PC0002	2l0f_1	51
PC0002	2l0t_1	51
PC0002	2lvo_1	51
PC0002	2lz6_1	51
PC0002	2mbb_2	51
PC0002	2mcn_1	51
PC0002	2mcn_2	51
PC0002	2mj5_1	51
PC0002	2mre_1	51
PC0002	2mro_1	51
PC0002	3reb_2	51
PC0002	4afq_2	51
PC0002	4ag2_2	51
PC0002	4hcp_2	51
PC0002	4k1r_2	51
PC0002	4m0w_2	51
PC0002	4msm_2	51
PC0002	4pqt_2	51
PC0002	5tl7_1	51
PC0002	5v69_2	51
PC0002	5v6a_2	51
PC0002	5vzm_1	51
PC0002	5zau_1	51
PC0002	6d4p_2	51
PC0003	1ees_1	37
PC0003	1gua_1	37
PC0003	1ibr_1	37
PC0003	1wq1_1	37
PC0003	2a78_1	37
PC0003	2a9k_1	37
PC0003	2kwi_1	37
PC0003	2rmk_1	37
PC0003	3ch5_1	37
PC0003	3ddc_1	37
PC0003	3eg5_1	37
PC0003	3gj3_1	37
PC0003	3gj4_1	37
PC0003	3gj6_1	37
PC0003	3gj8_1	37
PC0003	3jza_1	37
PC0003	3kuc_1	37
PC0003	3kud_1	37
PC0003	3tkl_1	37
PC0003	4c4p_1	37
PC0003	4d0g_1	37
PC0003	4did_1	37
PC0003	4dxa_1	37
PC0003	4g01_2	37
PC0003	4hdo_2	37
PC0003	4kvg_1	37
PC0003	4ojk_1	37
PC0003	4ol0_1	37
PC0003	4qxa_1	37
PC0003	4yc7_2	37
PC0003	5e95_2	37
PC0003	5fr2_1	37
PC0003	5o2t_1	37
PC0003	5szh_2	37
PC0003	5ufe_1	37
PC0003	6ba6_2	37
PC0003	6h46_1	37
PC0004	1c9t_1	32
PC0004	1d6r_1	32
PC0004	1eja_1	32
PC0004	1g9i_1	32
PC0004	1ldt_1	32
PC0004	1ppe_1	32
PC0004	1smf_1	32
PC0004	1yc0_1	32
PC0004	2ftm_1	32
PC0004	2g81_1	32
PC0004	2ptc_1	32
PC0004	2r9p_1	32
PC0004	2ra3_1	32
PC0004	2tgp_1	32
PC0004	2uuy_1	32
PC0004	2xtt_2	32
PC0004	3fp6_1	32
PC0004	3l33_1	32
PC0004	3p92_1	32
PC0004	3p95_1	32
PC0004	4afq_1	32
PC0004	4ag2_1	32
PC0004	4aoq_1	32
PC0004	4j2y_2	32
PC0004	4u30_1	32
PC0004	4u32_2	32
PC0004	5c67_1	32
PC0004	6dwf_1	32
PC0004	6dwh_1	32
PC0004	6gfi_1	32
PC0004	6har_1	32
PC0004	6kbr_1	32
PC0005	1eaw_2	23
PC0005	1f5r_2	23
PC0005	1f7z_2	23
PC0005	1fy8_2	23
PC0005	1yc0_2	23
PC0005	1zjd_2	23
PC0005	1zr0_2	23
PC0005	2ftl_2	23
PC0005	2ftm_2	23
PC0005	2ptc_2	23
PC0005	2r9p_2	23
PC0005	2ra3_2	23
PC0005	2tgp_2	23
PC0005	3fp6_2	23
PC0005	3p92_2	23
PC0005	3p95_2	23
PC0005	3tgk_2	23
PC0005	4u30_2	23
PC0005	4u32_1	23
PC0005	5c67_2	23
PC0005	6bx8_2	23
PC0005	6gfi_2	23
PC0005	6har_2	23
PC0006	1r0r_1	20
PC0006	1tm1_1	20
PC0006	1tm3_1	20
PC0006	1tm4_1	20
PC0006	1tm5_1	20
PC0006	1tm7_1	20
PC0006	1to1_1	20
PC0006	1y1k_1	20
PC0006	1y33_1	20
PC0006	1y34_1	20
PC0006	1y3b_1	20
PC0006	1y3c_1	20
PC0006	1y3d_1	20
PC0006	1y48_1	20
PC0006	1y4a_1	20
PC0006	2sic_1	20
PC0006	2sni_1	20
PC0006	2z58_1	20
PC0006	3vv2_1	20
PC0006	4gi3_1	20
PC0007	1g5j_1	18
PC0007	2kbw_1	18
PC0007	2m04_1	18
PC0007	2pon_2	18
PC0007	2yq7_1	18
PC0007	3kj0_1	18
PC0007	3kj1_1	18
PC0007	3kj2_1	18
PC0007	3kz0_1	18
PC0007	3r85_1	18
PC0007	4bpk_1	18
PC0007	4g35_1	18
PC0007	4hnj_2	18
PC0007	4k5a_1	18
PC0007	5c3f_1	18
PC0007	5vx3_1	18
PC0007	5w89_1	18
PC0007	6fbx_1	18
PC0008	1dzb_1	17
PC0008	3uyp_2	17
PC0008	3uze_2	17
PC0008	3uzq_1	17
PC0008	3uzv_2	17
PC0008	4f9l_2	17
PC0008	4x7s_1	17
PC0008	4x7s_2	17
PC0008	5aam_1	17
PC0008	5aaw_1	17
PC0008	5dfw_2	17
PC0008	5kve_2	17
PC0008	6cbp_2	17
PC0008	6ejm_2	17
PC0008	6i07_1	17
PC0008	6oan_2	17
PC0008	6qb3_2	17
PC0009	1xr0_1	17
PC0009	2jby_2	17
PC0009	2vog_2	17
PC0009	2voh_2	17
PC0009	2xpx_2	17
PC0009	3kz0_2	17
PC0009	4yj4_2	17
PC0009	4zii_2	17
PC0009	5ajk_2	17
PC0009	5twa_2	17
PC0009	5tzp_2	17
PC0009	5tzq_2	17
PC0009	5uul_2	17
