pdb_code,binding_affinity,binding_free_energy,exclusion_reason
1e6e,Kd=0.86uM,-8.269,"missing FASTA: 1e6e_1.fasta, 1e6e_2.fasta"
1lzw,Kd=0.33uM,-8.836,"missing FASTA: 1lzw_1.fasta, 1lzw_2.fasta"
1m5n,Kd=2.1nM,-11.83,"missing FASTA: 1m5n_1.fasta, 1m5n_2.fasta"
1pjn,Kd=22nM,-10.44,"missing FASTA: 1pjn_1.fasta, 1pjn_2.fasta"
1zv5,Kd=10nM,-10.906,"missing FASTA: 1zv5_1.fasta, 1zv5_2.fasta"
2m0j,Kd=12nM,-10.798,"missing FASTA: 2m0j_1.fasta, 2m0j_2.fasta"
2n01,Kd=1uM,-8.18,"missing FASTA: 2n01_1.fasta, 2n01_2.fasta"
2ru4,Kd=126nM,-9.406,"missing FASTA: 2ru4_1.fasta, 2ru4_2.fasta"
3lb8,Kd=66uM,-5.699,"missing FASTA: 3lb8_1.fasta, 3lb8_2.fasta"
3u82,Kd=17.1nM,-10.589,"missing FASTA: 3u82_1.fasta, 3u82_2.fasta"
4bru,Kd=200nM,-9.133,"missing FASTA: 4bru_1.fasta, 4bru_2.fasta"
4c99,Kd=114nM,-9.466,"missing FASTA: 4c99_1.fasta, 4c99_2.fasta"
4dm6,Kd=1.5uM,-7.94,"missing FASTA: 4dm6_1.fasta, 4dm6_2.fasta"
4etw,Kd=3.1uM,-7.51,"missing FASTA: 4etw_1.fasta, 4etw_2.fasta"
4mp0,Kd=8.7nM,-10.989,"missing FASTA: 4mp0_1.fasta, 4mp0_2.fasta"
4mqv,Kd=2.9uM,-7.549,"missing FASTA: 4mqv_1.fasta, 4mqv_2.fasta"
4rws,IC50=6nM,-11.209,"missing FASTA: 4rws_1.fasta, 4rws_2.fasta"
4zkc,Kd=0.22nM,-13.166,"missing FASTA: 4zkc_1.fasta, 4zkc_2.fasta"
5dmj,Kd=5.3nM,-11.282,"missing FASTA: 5dmj_1.fasta, 5dmj_2.fasta"
5lxq,Kd=0.64uM,-8.444,"missing FASTA: 5lxq_1.fasta, 5lxq_2.fasta"
5nqf,Kd=169nM,-9.232,"missing FASTA: 5nqf_1.fasta, 5nqf_2.fasta"
5nqg,Kd=50nM,-9.953,"missing FASTA: 5nqg_1.fasta, 5nqg_2.fasta"
5tl6,Kd=57.6uM,-5.78,"missing FASTA: 5tl6_1.fasta, 5tl6_2.fasta"
6h71,Kd=43.4nM,-10.037,"missing FASTA: 6h71_1.fasta, 6h71_2.fasta"
6ire,Kd=10.6nM,-10.872,"missing FASTA: 6ire_1.fasta, 6ire_2.fasta"
